velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
neuv.	s.r.o.	22651110	BasketFin s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2025	Liberec	46006	Petr Košíček	00	Liberec	2025-02-25
neuv.	s.r.o.	22645802	Elite Home Reality s.r.o.	Specializované návrhářské činnosti; Administrativní a kancelářské činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Nespecializovaný velkoobchod; Ostatní vzdělávání; Nespecializovaný maloobchod; Fotografické činnosti; Činnosti reklamních agentur; Zprostředkování v oblasti nemovitostí	aktivní	ano	2025	Liberec	46007	Michal Sůra	74100;82110;00;6820;46900;855;471;74200;73110;68310	Liberec	2025-02-24
neuv.	s.r.o.	22645543	Meknem s.r.o.	Výroba oděvů; Příprava staveniště; Pronájem a správa vlastních nebo pronajatých nemovitostí; Nespecializovaný velkoobchod; Výroba nožířských výrobků, nástrojů a železářských výrobků; Překladatelské a tlumočnické činnosti; Inženýrské činnosti a související technické poradenství; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Umělecká tvorba a činnosti v oblasti scénických umění; Nespecializovaný maloobchod; Poskytování ubytování	aktivní	ne	2025	Liberec	46014	Svitlana Mokan	14;43120;6820;46900;256;74300;7112;00;90020;471;55	Liberec	2025-02-24
neuv.	s.r.o.	22642455	Simply AI s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Počítačové programování, poradenství a související činnosti; Nespecializovaný velkoobchod; Činnosti reklamních agentur; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Ostatní vzdělávání	aktivní	ne	2025	Liberec	46312	Petr Sluka	00;620;46900;73110;471;6820;855	Liberec	2025-02-24
neuv.	s.r.o.	22642013	Nová Horská s.r.o.	Činnosti reklamních agentur; Administrativní a kancelářské činnosti; Nespecializovaný maloobchod; Nespecializovaný velkoobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výstavba bytových a nebytových budov; Zprostředkování v oblasti nemovitostí; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ano	2025	Liberec	46001	Zdeňka Truhlářová; Jiří Truhlář	73110;82110;471;46900;00;4120;68310;6820	Liberec	2025-02-23
neuv.	s.r.o.	22632191	LOOPOO s.r.o.	Nespecializovaný velkoobchod; Poskytování ubytování; Fotografické činnosti; Specializované návrhářské činnosti; Činnosti reklamních agentur; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Činnosti cestovních agentur; Zpracování dřeva, výroba dřevěných, korkových, proutěných a slaměných výrobků, kromě nábytku	aktivní	ne	2025	Liberec	46007	Adéla Šnajdrová	46900;55;74200;74100;73110;00;471;620;79110;16	Liberec	2025-02-25
neuv.	s.r.o.	22627243	ASANO RECYKLACE s.r.o.	Úklidové činnosti; Příprava staveniště; Sběr odpadů, kromě nebezpečných; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Nespecializovaný maloobchod; Inženýrské činnosti a související technické poradenství; Nespecializovaný velkoobchod	aktivní	ano	2025	Liberec	46312	Jiří Pavlů	81290;43120;38110;77290;00;6820;471;7112;46900	Liberec	2025-02-18
neuv.	s.r.o.	22597905	Domy u Prahy II s.r.o.	Nespecializovaný maloobchod; Nespecializovaný velkoobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2025	Liberec	46001	Lukáš Plechatý	471;46900;6820;00	Liberec	2025-02-17
neuv.	s.r.o.	22597662	Domy u Prahy III s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2025	Liberec	46001	Lukáš Plechatý	6820;46900;471;00	Liberec	2025-02-17
neuv.	s.r.o.	22580808	JM DEVITKA s.r.o.	Nespecializovaný maloobchod; Nespecializovaný velkoobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Činnosti agentur zprostředkujících zaměstnání	aktivní	ne	2025	Liberec	46001	Michal Devátý	471;46900;00;78100	Liberec	2025-02-18
