velikost	forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
neuv.	s.r.o.	28748611	Code Vision, s.r.o.	Reklamní činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2011	Jablonec nad Nisou	46602	Petr Šikola; Lenka Šikolová; Oldřich Charuza	731;772	Jablonec nad Nisou	2011-10-28
neuv.	s.r.o.	28746457	Filáčci s.r.o.	Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba ostatních nekovových minerálních výrobků; Výroba skla a skleněných výrobků; Výroba základních kovů; Výroba kovových výrobků, kromě strojů a zařízení; Ostatní zpracovatelský průmysl; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Inženýrské činnosti a související technické poradenství; Specializované návrhářské činnosti	aktivní	ne	2011	Jablonec nad Nisou	46804	Tereza Stuchlíková	16100;23;231;24;25;32;46900;471;7112;74100	Jablonec nad Nisou	2011-08-25
neuv.	s.r.o.	28745086	GLASS MOTIV BEADS s.r.o.	Výroba skla a skleněných výrobků; Ostatní zpracovatelský průmysl; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Specializované návrhářské činnosti	aktivní	ne	2011	Jablonec nad Nisou	46602	Luděk Černý	231;32;46900;471;74100	Jablonec nad Nisou	2011-06-29
neuv.	s.r.o.	28744977	KODEST s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků; Opravy a údržba motorových vozidel, kromě motocyklů; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ubytování v hotelích a podobných ubytovacích zařízeních; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2011	Jablonec nad Nisou	46804	Zdeněk Devera; Marcela Deverová Kodymová	00;251;25610;45200;461;46900;471;55109;731;7490;77290	Jablonec nad Nisou	2011-06-24
neuv.	s.r.o.	28743415	OptiKvik, s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi	aktivní	ne	2011	Jablonec nad Nisou	46604	Helena Krutská; Jiří Kočárek	461	Jablonec nad Nisou	2011-05-27
neuv.	s.r.o.	28743008	SEMAS s.r.o.	Ostatní specializované stavební činnosti j. n.	aktivní	ne	2011	Jablonec nad Nisou	46605	Ján Grega	4399	Jablonec nad Nisou	2011-05-11
neuv.	s.r.o.	28741471	Sladovna Jablonec s.r.o.	Poradenství v oblasti podnikání a řízení podniků; Ostatní odborné, vědecké a technické činnosti; Výroba piva; Výroba sladu; Opravy a údržba motorových vozidel, kromě motocyklů; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod	aktivní	ne	2011	Jablonec nad Nisou	46606	Irena Vlková	702;74;11050;11060;45200;461;46900;47	Jablonec nad Nisou	2011-03-29
neuv.	s.r.o.	28739507	Klinika komplexní péče s.r.o.	Nespecializovaný velkoobchod; Maloobchod; Poradenství v oblasti podnikání a řízení podniků; Ostatní vzdělávání j. n.; Poskytování osobních služeb	aktivní	ne	2011	Jablonec nad Nisou	46602	Jana Všetičková	46900;47;702;8559;96040	Jablonec nad Nisou	2011-02-03
neuv.	s.r.o.	28738535	Holík Holding s.r.o.	Maloobchod; Počítačové programování, poradenství a související činnosti; Administrativní a kancelářské činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Velkoobchod; Ostatní pomocné činnosti k finančním činnostem, kromě pojišťování a penzijního financování	aktivní	ne	2011	Jablonec nad Nisou	46601	Petr Holík	47;620;82110;00;46;66190	Jablonec nad Nisou	2011-01-11
neuv.	s.r.o.	28737687	Jakš Takš s.r.o.	Nespecializovaný velkoobchod; Maloobchod	aktivní	ne	2011	Jablonec nad Nisou	46602	Kateřina Vachek	46900;47	Jablonec nad Nisou	2011-01-06
neuv.	s.r.o.	28736877	CARDIOFITNESS JABLONEC, s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Maloobchod s použitým zbožím; Poradenství v oblasti podnikání a řízení podniků; Technické zkoušky a analýzy; Reklamní činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Ostatní vzdělávání j. n.; Činnosti v oblasti sportu; Činnosti v oblasti zábavy a rekreace j. n.; Poskytování osobních služeb	aktivní	ne	2010	Jablonec nad Nisou	46605	Petros Kalpakcis	461;46900;47;47790;702;7120;731;772;8559;931;93290;96040	Jablonec nad Nisou	2010-12-13
neuv.	s.r.o.	28729102	PRIVÁTNÍ ZUBNÍ ORDINACE s.r.o.	Nespecializovaný velkoobchod; Maloobchod; Zubní péče	aktivní	ne	2010	Jablonec nad Nisou	46601		46900;47;86230	Jablonec nad Nisou	2010-08-04
neuv.	s.r.o.	28723708	ARTMETAL ČECHY s.r.o.	Výroba kovových konstrukcí a jejich dílů; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba elektronických součástek a desek; Nespecializovaný velkoobchod; Maloobchod; Poradenství v oblasti podnikání a řízení podniků; Architektonické a inženýrské činnosti a související technické poradenství; Úklidové činnosti; Ostatní vzdělávání j. n.	aktivní	ne	2010	Jablonec nad Nisou	46606	Eva Nitschová; Veronika Klacková	25110;256;261;46900;47;702;711;812;8559	Jablonec nad Nisou	2010-05-12
neuv.	s.r.o.	28723538	Sladký sen, s.r.o.	Nespecializovaný velkoobchod; Maloobchod	aktivní	ne	2010	Jablonec nad Nisou	46601	Lucie Mečířová	46900;47	Jablonec nad Nisou	2010-05-10
neuv.	s.r.o.	28708423	ABAREX s.r.o.	Úklidové činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výstavba bytových a nebytových budov; Maloobchod; Maloobchod s použitým zbožím; Technické zkoušky a analýzy; Umělecká tvorba a činnosti v oblasti scénických umění; Velkoobchod; Překladatelské a tlumočnické činnosti; Inženýrské činnosti a související technické poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti cestovních agentur; Činnosti reklamních agentur; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Výroba kovových výrobků, kromě strojů a zařízení; Ostatní vzdělávání; Příprava staveniště; Fotografické činnosti	aktivní	ano	2009	Jablonec nad Nisou	46601	Petr Král	81290;00;4120;47;47790;71209;90020;46;74300;7112;77290;79110;73110;55;6820;25;855;43120;74200	Jablonec nad Nisou	2009-09-01
neuv.	s.r.o.	28708237	Bijoux Box s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Velkoobchod s ostatními výrobky převážně pro domácnost; Maloobchod	aktivní	ano	2009	Jablonec nad Nisou	46601	Ladislav Kalous	461;46490;47	Jablonec nad Nisou	2009-08-31
neuv.	s.r.o.	28706358	JABLOTRADE s.r.o.	Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Reklamní činnosti; Nespecializovaný velkoobchod; Maloobchod; Skladování; Počítačové programování, poradenství a související činnosti	aktivní	ano	2009	Jablonec nad Nisou	46605	Petr Kopka	63;731;46900;47;52100;620	Jablonec nad Nisou	2009-07-29
neuv.	s.r.o.	28703715	Ecodrive s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2009	Jablonec nad Nisou	46604	Tomáš Hnídek	461;46900;47;772	Jablonec nad Nisou	2009-06-30
neuv.	s.r.o.	28703308	DIMKA s.r.o., v likvidaci	Podpůrné činnosti pro zemědělství a posklizňové činnosti	aktivní	ne	2009	Jablonec nad Nisou	46801	Ivan Riško	016	Jablonec nad Nisou	2009-06-22
neuv.	s.r.o.	28702123	Special Time s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti; Činnosti cestovních agentur a cestovních kanceláří; Ostatní vzdělávání j. n.	aktivní	ne	2009	Jablonec nad Nisou	46606	Šárka Havířová	461;46900;47;731;74;791;8559	Jablonec nad Nisou	2009-06-05
neuv.	s.r.o.	28701941	Angel Design s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba dřevěných, korkových, proutěných a slaměných výrobků; Výroba betonových, cementových a sádrových výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Demolice a příprava staveniště; Kompletační a dokončovací stavební práce; Ostatní specializované stavební činnosti j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Maloobchod s použitým zbožím; Skladování; Zprostředkování v oblasti nemovitostí; Reklamní činnosti	aktivní	ne	2009	Jablonec nad Nisou	46601	Tomáš Kocián; Dagmar Kociánová	00;162;236;256;431;433;4399;461;46900;47;47790;52100;68310;731	Jablonec nad Nisou	2009-06-11
neuv.	s.r.o.	28695054	Walter Schwab, Flitterfabrik CZ, s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Ostatní zpracovatelský průmysl j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Maloobchod	aktivní	ne	2009	Jablonec nad Nisou	46601	Vetmir Čukić	221;222;32990;461;47	Jablonec nad Nisou	2009-03-16
neuv.	s.r.o.	28690320	IM STONES s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti; Překladatelské a tlumočnické činnosti	aktivní	ano	2009	Jablonec nad Nisou	46804	Martina Drašarová; Lenka Maliariková	461;731;74;74300	Jablonec nad Nisou	2009-02-09
neuv.	s.r.o.	28689828	RITTER TRADE s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod; Silniční nákladní doprava; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2009	Jablonec nad Nisou	46602	Jiří Ritter	461;471;49410;56100;74	Jablonec nad Nisou	2009-02-02
neuv.	s.r.o.	28681649	REVOLVE s.r.o.	Výroba měřicích, zkušebních a časoměrných přístrojů; Výroba počítačů a periferních zařízení; Výroba ostatních strojů a zařízení pro všeobecné účely j. n.; Počítačové programování, poradenství a související činnosti; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti	aktivní	ne	2008	Jablonec nad Nisou	46601	Luboš Martínek	265;26200;28290;620;63	Jablonec nad Nisou	2008-11-24
neuv.	s.r.o.	28676564	R & B Intl. s.r.o.	Podpůrné činnosti pro zemědělství a posklizňové činnosti; Maloobchod; Živočišná výroba; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Velkoobchod	aktivní	ne	2008	Jablonec nad Nisou	46804	Barbara Holubová	016;47;01493;77290;00;46	Jablonec nad Nisou	2008-10-10
neuv.	s.r.o.	28675177	Alluka, s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Zprostředkování v oblasti nemovitostí; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	2008	Jablonec nad Nisou	46601	Lukáš Hrabovský; Stanislav Hrabovský	461;68310;731;74	Jablonec nad Nisou	2008-09-15
neuv.	s.r.o.	28671791	KKK ROS s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Maloobchod s použitým zbožím; Ubytování v hotelích a podobných ubytovacích zařízeních; Ostatní odborné, vědecké a technické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ne	2008	Jablonec nad Nisou	46601	Zdeněk Král	461;47790;5510;74;772	Jablonec nad Nisou	2008-08-15
neuv.	s.r.o.	28670906	FC Sever spol. s r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody; Činnosti sportovních klubů	aktivní	ano	2008	Jablonec nad Nisou	46601	Milan Zemánek	00;016;461;46900;47;68320;93120	Jablonec nad Nisou	2008-08-23
neuv.	s.r.o.	28669754	ProTec servis Česká republika s.r.o.	Tvarování a zpracování plochého skla; Sběr odpadů, zpracování odpadů k dalšímu využití a odstraňování odpadů; Demolice a příprava staveniště; Kompletační a dokončovací stavební práce; Skladování; Manipulace s nákladem; Zprostředkování v oblasti nemovitostí; Poradenství v oblasti podnikání a řízení podniků; Technické zkoušky a analýzy; Ostatní odborné, vědecké a technické činnosti	insolvence	ano	2008	Jablonec nad Nisou	46601		23120;38;431;433;52100;52240;68310;702;7120;74	Jablonec nad Nisou	2008-07-23
neuv.	s.r.o.	28666071	FOLIFORM Europe s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Zprostředkování v oblasti maloobchodu	aktivní	ne	2008	Jablonec nad Nisou	46601	Josef Tůma	461;47990	Jablonec nad Nisou	2008-06-19
neuv.	s.r.o.	28377699	Reality od nás s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Pronájem a správa vlastních nebo pronajatých nemovitostí; Zprostředkování v oblasti nemovitostí; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2008	Jablonec nad Nisou	46601	Martina Bradáčová	461;6820;68310;731;74	Jablonec nad Nisou	2008-04-04
neuv.	s.r.o.	28363051	Ferretería s.r.o. v likvidaci	Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2008	Jablonec nad Nisou	46804		6820	Jablonec nad Nisou	2008-03-26
neuv.	s.r.o.	28150228	INAUTOMATION s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba strojů a zařízení j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Inženýrské činnosti a související technické poradenství	aktivní	ano	2013	Jablonec nad Nisou	46804	Petra Doubková	00;28;461;7112	Jablonec nad Nisou	2013-02-05
neuv.	s.r.o.	28100361	Tomášová - Roško s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2009	Jablonec nad Nisou	46804	Josef Roško	6820	Jablonec nad Nisou	2009-03-20
neuv.	s.r.o.	27946525	Jindřichov s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2007			Sebastian Stroh; Iva Randisová	6820		2007-09-03
neuv.	s.r.o.	27929728	Jablonecká stavební s. r. o.	Podpůrné činnosti pro zemědělství a posklizňové činnosti; Výroba ostatních nekovových minerálních výrobků; Výstavba bytových a nebytových budov; Příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Skladování; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ne	2007	Jablonec nad Nisou	46601	Martin Eder	016;23;4120;43120;46900;471;47790;52100;7490;77290	Jablonec nad Nisou	2007-07-25
neuv.	s.r.o.	27874419	Arbesova s.r.o.	Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody	aktivní	ne	2007	Jablonec nad Nisou	46604	Iva Stroh; Sebastian Stroh	68320	Jablonec nad Nisou	2007-03-26
neuv.	s.r.o.	27845761	EUROPA VEMATRANS s.r.o.	Velkoobchod	aktivní	ne	2008	Jablonec nad Nisou	46601	Raul Suárez	46	Jablonec nad Nisou	2008-05-14
neuv.	s.r.o.	27435181	VOKU JABLONEC s.r.o.	Zprostředkování v oblasti nemovitostí; Ostatní odborné, vědecké a technické činnosti; Výstavba bytových a nebytových budov; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím; Maloobchod s použitým zbožím; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2006	Jablonec nad Nisou	46602	Jan Vocel	68310;74;4120;461;46900;4778;47790;6820	Jablonec nad Nisou	2006-03-14
neuv.	s.r.o.	27368475	Bohemia KFT s.r.o.	Obchod s motorovými vozidly, kromě motocyklů; Opravy a údržba motorových vozidel, kromě motocyklů; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Pronájem a leasing osobních automobilů a lehkých motorových vozidel	aktivní	ne	2005	Jablonec nad Nisou	46605	Jan Ostrý	451;45200;461;46900;77110	Jablonec nad Nisou	2005-09-09
neuv.	s.r.o.	27339831	RD Havi s.r.o.	Architektonické a inženýrské činnosti a související technické poradenství	aktivní	ne	2007	Jablonec nad Nisou	46602	Ivana Zalabáková; Petr Brabec	711	Jablonec nad Nisou	2007-11-16
neuv.	s.r.o.	27331113	Prosečská realitní s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Zprostředkování v oblasti nemovitostí; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2007	Jablonec nad Nisou	46601	Ivo Bartoněk; Simona Peltová	461;68310;74	Jablonec nad Nisou	2007-08-06
neuv.	s.r.o.	27325237	Institut zdraví obyvatel s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Zprostředkování v oblasti nemovitostí; Poradenství v oblasti podnikání a řízení podniků; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti; Překladatelské a tlumočnické činnosti; Činnosti cestovních agentur a cestovních kanceláří; Ostatní vzdělávání	aktivní	ne	2007	Jablonec nad Nisou	46601	Katerina Kaltsogianni	461;68310;702;731;74;74300;791;855	Jablonec nad Nisou	2007-06-27
neuv.	s.r.o.	27322904	TRANSIMAZ CZ, s.r.o.	Podpůrné činnosti pro dopravu	aktivní	ne	2007	Jablonec nad Nisou	46801	Carlos Crespo Franco; Raul Suárez	52290	Jablonec nad Nisou	2007-05-30
neuv.	s.r.o.	27320081	KLINKEBAU s.r.o., v likvidaci	Výstavba bytových a nebytových budov	aktivní	ne	2007	Jablonec nad Nisou	46801	Linda Veselá	4120	Jablonec nad Nisou	2007-04-17
neuv.	s.r.o.	27318338	JEWELSTAR, s.r.o.	Výroba klenotů a příbuzných výrobků; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Zprostředkování v oblasti maloobchodu	aktivní	ne	2007	Jablonec nad Nisou	46604	Zbyněk Zatloukal	32120;46900;471;4778;47990	Jablonec nad Nisou	2007-03-28
neuv.	s.r.o.	27317498	JIRKŮ s.r.o.	Obkládání stěn a pokládání podlahových krytin; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Zprostředkování v oblasti maloobchodu; Silniční nákladní doprava; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	2007	Jablonec nad Nisou	46601	Miloš Jirků	43330;461;471;4778;47990;49410;74	Jablonec nad Nisou	2007-03-15
neuv.	s.r.o.	27316173	MAKAK climbing s.r.o.	Destilace, rektifikace a míchaní lihovin; Výroba kovových cisteren, nádrží a podobných nádob; Výroba sportovních potřeb; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Zprostředkování v oblasti maloobchodu; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Ostatní odborné, vědecké a technické činnosti; Činnosti v oblasti sportu j. n.	aktivní	ano	2007	Jablonec nad Nisou	46604	Petr Roubíček	11010;252;32300;461;46900;471;4778;47990;56100;74;93190	Jablonec nad Nisou	2007-03-20
neuv.	s.r.o.	27316009	SMARTKONSTRUKT s.r.o.	Výstavba bytových a nebytových budov; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Architektonické činnosti	aktivní	ano	2007	Jablonec nad Nisou	46804	Pavel Šulc	4120;45200;471;4778;71110	Jablonec nad Nisou	2007-02-28
neuv.	s.r.o.	27313492	Bytové domy Vrkoslavice s.r.o.	Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Pronájem a správa vlastních nebo pronajatých nemovitostí; Zprostředkování v oblasti nemovitostí; Poradenství v oblasti podnikání a řízení podniků; Architektonické a inženýrské činnosti a související technické poradenství	aktivní	ne	2007	Jablonec nad Nisou	46602	Aleš Zalabák; Desanka Šourková; Petr Brabec	471;4778;6820;68310;702;711	Jablonec nad Nisou	2007-01-22
neuv.	s.r.o.	27312828	ART METAL DESIGN Oldřich Ušák s.r.o.	Výroba kovových výrobků, kromě strojů a zařízení; Výroba kovových výrobků, kromě strojů a zařízení; Výroba ostatních strojů pro speciální účely j. n.	aktivní	ano	2007	Jablonec nad Nisou	46801	Oldřich Ušák; Táňa Ušáková	25720;25730;28990	Jablonec nad Nisou	2007-01-15
neuv.	s.r.o.	27305597	M&M TREND s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Těžba a dobývání ostatních nerostných surovin; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba ostatních nekovových minerálních výrobků; Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba kovových výrobků, kromě strojů a zařízení; Výroba bižuterie a příbuzných výrobků; Výstavba bytových a nebytových budov; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Zprostředkování v oblasti maloobchodu; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Počítačové programování, poradenství a související činnosti; Úklidové činnosti	aktivní	ne	2006	Jablonec nad Nisou	46601	Michal Šmejda	00;08;16100;23;251;256;25730;32130;4120;46900;471;4778;47990;56100;620;812	Jablonec nad Nisou	2006-10-11
neuv.	s.r.o.	27299571	DEEL s.r.o.	Destilace, rektifikace a míchaní lihovin; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný maloobchod; Maloobchod s pohonnými hmotami; Maloobchod s ostatním novým zbožím	aktivní	ano	2006	Jablonec nad Nisou	46605	Libor Milota	11010;45200;471;47300;4778	Jablonec nad Nisou	2006-07-24
neuv.	s.r.o.	27291286	HV BOHEMIA GROUP s.r.o.	Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Výroba ostatních elektrických zařízení	aktivní	ne	2006	Jablonec nad Nisou	46605	Milan Harakaľ	471;4778;27900	Jablonec nad Nisou	2006-04-19
neuv.	s.r.o.	27284832	KONTAKT THERM CZ s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod	insolvence	ne	2006	Jablonec nad Nisou	46605	Roman Just	461;46900;471	Jablonec nad Nisou	2006-01-04
neuv.	s.r.o.	27280071	Lichtmir s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba pryžových a plastových výrobků; Výroba skla a skleněných výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výstavba bytových a nebytových budov; Příprava staveniště; Pronájem a správa vlastních nebo pronajatých nemovitostí; Úklidové činnosti; Poskytování osobních služeb	aktivní	ne	2005	Jablonec nad Nisou	46601	Slawomir Lech Lichtarski	00;16100;22;231;256;4120;43120;6820;812;96090	Jablonec nad Nisou	2005-11-02
neuv.	s.r.o.	27274870	P-FLEX s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Zprostředkování v oblasti velkoobchodu za provizi; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2005	Jablonec nad Nisou	46605	Tomáš Pluhař	221;222;461;74	Jablonec nad Nisou	2005-07-25
neuv.	s.r.o.	27272206	MARALEX int. s.r.o.	Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Velkoobchod	aktivní	ne	2005	Jablonec nad Nisou	46601	Nikolaj Klimov	471;4778;46	Jablonec nad Nisou	2005-06-22
neuv.	s.r.o.	27271170	MERAL BOHEMIA spol. s r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím; Reklamní činnosti	aktivní	ano	2005	Jablonec nad Nisou	46606	Pavel Sluka	461;46900;4778;731	Jablonec nad Nisou	2005-05-25
neuv.	s.r.o.	27269426	ABRAM JBC s.r.o.	Maloobchod; Velkoobchod; Poskytování ubytování; Skladování a podpůrné činnosti pro dopravu; Pronájem a správa vlastních nebo pronajatých nemovitostí; Silniční nákladní doprava	aktivní	ne	2005	Jablonec nad Nisou	46601	Martin Nypl	47;46;55;52;6820;49410	Jablonec nad Nisou	2005-04-29
neuv.	s.r.o.	27268225	NEON DESIGN s.r.o.	Výroba skla a skleněných výrobků; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2005	Jablonec nad Nisou	46601	Olga Smrčková	231;471;4778;74	Jablonec nad Nisou	2005-04-18
neuv.	s.r.o.	27262642	Česká geodetická s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Zprostředkování v oblasti nemovitostí; Účetnické a auditorské činnosti; daňové poradenství; Inženýrské činnosti a související technické poradenství; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2005	Jablonec nad Nisou	46602	Miroslav Žídek	461;68310;69200;71122;74	Jablonec nad Nisou	2005-01-17
neuv.	s.r.o.	27138542	Universe games, s.r.o., v likvidaci	Příprava tisku a digitálních dat; Výroba elektronických součástek a desek; Výroba ostatních elektrických zařízení; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Architektonické a inženýrské činnosti a související technické poradenství; Reklamní činnosti; Průzkum trhu a veřejného mínění; Ostatní odborné, vědecké a technické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ne	2004	Jablonec nad Nisou	46604	Zuzana Vítová; Jana Špuláková; Petr Vítek	18130;261;27900;63;711;731;73200;74;772	Jablonec nad Nisou	2004-03-29
neuv.	s.r.o.	27101878	NSI CZ s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Ostatní vzdělávání j. n.; Poskytování osobních služeb; Poskytování osobních služeb	aktivní	ne	2003	Jablonec nad Nisou	46604	Miroslav Plíšek	00;46900;8559;96020;96040	Jablonec nad Nisou	2003-11-12
neuv.	s.r.o.	26947722	Sygnex Group, s.r.o., v likvidaci	Výstavba bytových a nebytových budov; Maloobchod s ostatním novým zbožím; Ostatní odborné, vědecké a technické činnosti	aktivní	ne	2004	Jablonec nad Nisou	46602	Bohuslav Pěnčík	4120;4778;74	Jablonec nad Nisou	2004-12-16
neuv.	s.r.o.	26942135	NAUTILUS-Composites s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Nespecializovaný velkoobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2004	Jablonec nad Nisou	46801	Karel Kůla	221;222;469;772	Jablonec nad Nisou	2004-11-12
neuv.	s.r.o.	26441551	SSN spol. s r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výstavba bytových a nebytových budov; Nespecializovaný velkoobchod; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ne	2001	Jablonec nad Nisou	46604		00;4120;46900;900	Jablonec nad Nisou	2001-03-22
neuv.	s.r.o.	26384060	Spectrum Franěk-Plzeň s.r.o. v likvidaci	Velkoobchod	aktivní	ne	2005	Jablonec nad Nisou	46605	Ivo Franěk	46	Jablonec nad Nisou	2005-01-06
